state,year_month,age_0_5,age_5_17,age_18_greater,total_enrolment
Andaman & Nicobar Islands,2025-09,172,16,0,188
Andaman & Nicobar Islands,2025-10,74,8,0,82
Andaman & Nicobar Islands,2025-11,109,3,0,112
Andaman & Nicobar Islands,2025-12,124,5,0,129
Andhra Pradesh,2025-03,43,44,29,116
Andhra Pradesh,2025-06,928,433,213,1574
Andhra Pradesh,2025-07,473,372,111,956
Andhra Pradesh,2025-09,34939,5037,228,40204
Andhra Pradesh,2025-10,23150,3085,38,26273
Andhra Pradesh,2025-11,30884,3373,179,34436
Andhra Pradesh,2025-12,22028,1402,126,23556
Arunachal Pradesh,2025-09,886,882,5,1773
Arunachal Pradesh,2025-10,387,473,2,862
Arunachal Pradesh,2025-11,341,395,56,792
Arunachal Pradesh,2025-12,254,134,0,388
Assam,2025-03,587,1105,800,2492
Assam,2025-04,11931,9203,4520,25654
Assam,2025-05,5170,5609,2418,13197
Assam,2025-06,4878,3401,1455,9734
Assam,2025-07,30769,11877,5227,47873
Assam,2025-09,35699,14195,618,50512
Assam,2025-10,17597,7164,1951,26712
Assam,2025-11,19986,8698,2560,31244
Assam,2025-12,14618,4833,1344,20795
Bihar,2025-03,516,1392,444,2352
Bihar,2025-04,12551,15361,1530,29442
Bihar,2025-05,13251,17159,1241,31651
Bihar,2025-07,19008,38019,2247,59274
Bihar,2025-09,62940,79583,971,143494
Bihar,2025-10,46297,52921,1542,100760
Bihar,2025-11,48127,56444,992,105563
Bihar,2025-12,44025,45700,637,90362
Chandigarh,2025-04,86,21,10,117
Chandigarh,2025-09,776,79,1,856
Chandigarh,2025-10,429,44,0,473
Chandigarh,2025-11,674,36,12,722
Chandigarh,2025-12,511,31,6,548
Chhattisgarh,2025-03,115,46,99,260
Chhattisgarh,2025-04,1299,254,192,1745
Chhattisgarh,2025-05,945,270,191,1406
Chhattisgarh,2025-06,608,439,216,1263
Chhattisgarh,2025-07,5376,1792,419,7587
Chhattisgarh,2025-09,23738,4804,247,28789
Chhattisgarh,2025-10,13901,3063,110,17074
Chhattisgarh,2025-11,20493,5128,297,25918
Chhattisgarh,2025-12,15978,2973,181,19132
Dadra & Nagar Haveli And Daman & Diu,2025-09,401,51,5,457
Dadra & Nagar Haveli And Daman & Diu,2025-10,131,15,0,146
Dadra & Nagar Haveli And Daman & Diu,2025-11,224,28,0,252
Dadra & Nagar Haveli And Daman & Diu,2025-12,151,11,7,169
Delhi,2025-03,181,102,85,368
Delhi,2025-04,4078,1495,357,5930
Delhi,2025-05,3687,1514,380,5581
Delhi,2025-06,5327,2371,463,8161
Delhi,2025-07,12568,5476,740,18784
Delhi,2025-09,13984,4475,319,18778
Delhi,2025-10,8082,2132,153,10367
Delhi,2025-11,12088,3091,349,15528
Delhi,2025-12,9188,1640,128,10956
Goa,2025-09,693,105,29,827
Goa,2025-10,375,47,2,424
Goa,2025-11,553,68,20,641
Goa,2025-12,274,24,4,302
Gujarat,2025-03,686,354,282,1322
Gujarat,2025-04,17603,6024,4219,27846
Gujarat,2025-05,9005,3615,1674,14294
Gujarat,2025-06,6275,5245,704,12224
Gujarat,2025-07,33294,23945,3594,60833
Gujarat,2025-09,44182,15179,1032,60393
Gujarat,2025-10,16172,4047,850,21069
Gujarat,2025-11,39040,8656,1579,49275
Gujarat,2025-12,26774,4117,906,31797
Haryana,2025-03,98,79,23,200
Haryana,2025-04,1785,482,61,2328
Haryana,2025-05,3039,601,56,3696
Haryana,2025-06,6112,1190,339,7641
Haryana,2025-07,5274,1301,177,6752
Haryana,2025-09,20658,1920,111,22689
Haryana,2025-10,15119,1037,46,16202
Haryana,2025-11,21794,1707,194,23695
Haryana,2025-12,14163,793,61,15017
Himachal Pradesh,2025-07,57,24,33,114
Himachal Pradesh,2025-09,4476,253,11,4740
Himachal Pradesh,2025-10,3824,133,16,3973
Himachal Pradesh,2025-11,5352,163,41,5556
Himachal Pradesh,2025-12,2930,88,12,3030
Jammu & Kashmir,2025-04,142,59,10,211
Jammu & Kashmir,2025-05,191,55,22,268
Jammu & Kashmir,2025-07,569,344,37,950
Jammu & Kashmir,2025-09,9663,2181,22,11866
Jammu & Kashmir,2025-10,8455,1856,82,10393
Jammu & Kashmir,2025-11,11053,2434,262,13749
Jammu & Kashmir,2025-12,10466,1093,42,11601
Jharkhand,2025-03,12,25,18,55
Jharkhand,2025-04,2026,1496,184,3706
Jharkhand,2025-09,27570,17647,141,45358
Jharkhand,2025-10,16177,9159,215,25551
Jharkhand,2025-11,28834,15351,233,44418
Jharkhand,2025-12,16661,7023,150,23834
Karnataka,2025-03,309,192,231,732
Karnataka,2025-04,7326,1165,1095,9586
Karnataka,2025-05,2835,1758,898,5491
Karnataka,2025-06,5863,3662,2160,11685
Karnataka,2025-07,8654,4460,2149,15263
Karnataka,2025-09,49282,8066,839,58187
Karnataka,2025-10,30490,4785,577,35852
Karnataka,2025-11,39922,5935,1079,46936
Karnataka,2025-12,34581,3840,333,38754
Kerala,2025-09,13659,5661,90,19410
Kerala,2025-10,12184,4404,259,16847
Kerala,2025-11,16484,5140,865,22489
Kerala,2025-12,10966,2941,191,14098
Ladakh,2025-09,124,46,3,173
Ladakh,2025-10,66,40,2,108
Ladakh,2025-11,135,32,5,172
Ladakh,2025-12,141,15,1,157
Lakshadweep,2025-09,60,4,0,64
Lakshadweep,2025-10,42,2,0,44
Lakshadweep,2025-11,59,4,1,64
Lakshadweep,2025-12,31,0,0,31
Madhya Pradesh,2025-03,286,161,95,542
Madhya Pradesh,2025-04,12077,4146,1128,17351
Madhya Pradesh,2025-05,7221,3018,364,10603
Madhya Pradesh,2025-06,9708,7774,672,18154
Madhya Pradesh,2025-07,34979,26040,2169,63188
Madhya Pradesh,2025-09,98016,33562,914,132492
Madhya Pradesh,2025-10,50371,11943,1125,63439
Madhya Pradesh,2025-11,84762,16930,1717,103409
Madhya Pradesh,2025-12,70570,12807,1055,84432
Maharashtra,2025-03,232,130,98,460
Maharashtra,2025-04,7986,1901,704,10591
Maharashtra,2025-05,6706,2352,791,9849
Maharashtra,2025-06,6521,3518,610,10649
Maharashtra,2025-07,34468,18536,1763,54767
Maharashtra,2025-09,73837,27751,674,102262
Maharashtra,2025-10,41040,9032,694,50766
Maharashtra,2025-11,58064,12039,1357,71460
Maharashtra,2025-12,49960,6857,699,57516
Manipur,2025-09,1361,1992,27,3380
Manipur,2025-10,1029,1426,41,2496
Manipur,2025-11,1287,1473,43,2803
Manipur,2025-12,774,806,17,1597
Meghalaya,2025-03,507,269,774,1550
Meghalaya,2025-09,2086,4747,2461,9294
Meghalaya,2025-10,1038,2100,1328,4466
Meghalaya,2025-11,1179,2008,2190,5377
Meghalaya,2025-12,321,800,985,2106
Mizoram,2025-04,275,76,17,368
Mizoram,2025-05,475,154,108,737
Mizoram,2025-06,205,69,37,311
Mizoram,2025-07,549,217,109,875
Mizoram,2025-09,870,311,23,1204
Mizoram,2025-10,655,184,54,893
Mizoram,2025-11,714,191,37,942
Mizoram,2025-12,393,93,9,495
Nagaland,2025-09,745,1811,131,2687
Nagaland,2025-10,603,1300,54,1957
Nagaland,2025-11,434,787,140,1361
Nagaland,2025-12,96,250,5,351
Odisha,2025-07,364,140,25,529
Odisha,2025-09,42843,10426,46,53315
Odisha,2025-10,19706,4591,178,24475
Odisha,2025-11,18979,4363,184,23526
Odisha,2025-12,17357,3215,123,20695
Puducherry,2025-09,1038,72,5,1115
Puducherry,2025-10,520,50,3,573
Puducherry,2025-11,816,51,8,875
Puducherry,2025-12,404,22,9,435
Punjab,2025-03,118,28,34,180
Punjab,2025-04,3951,1155,647,5753
Punjab,2025-05,2540,1002,225,3767
Punjab,2025-06,1704,846,192,2742
Punjab,2025-07,5862,2132,517,8511
Punjab,2025-09,18622,2774,144,21540
Punjab,2025-10,8877,1404,217,10498
Punjab,2025-11,12492,2015,497,15004
Punjab,2025-12,7058,994,329,8381
Rajasthan,2025-03,41,36,17,94
Rajasthan,2025-04,11907,4141,794,16842
Rajasthan,2025-05,1992,904,65,2961
Rajasthan,2025-06,4094,2354,168,6616
Rajasthan,2025-07,17372,10811,603,28786
Rajasthan,2025-09,84100,38908,540,123548
Rajasthan,2025-10,28544,15085,249,43878
Rajasthan,2025-11,48447,23280,2260,73987
Rajasthan,2025-12,33283,17604,388,51275
Sikkim,2025-09,349,367,11,727
Sikkim,2025-10,169,143,4,316
Sikkim,2025-11,250,168,2,420
Sikkim,2025-12,71,26,3,100
Tamil Nadu,2025-03,12,12,10,34
Tamil Nadu,2025-04,358,95,46,499
Tamil Nadu,2025-05,322,64,34,420
Tamil Nadu,2025-06,1355,393,183,1931
Tamil Nadu,2025-07,630,273,69,972
Tamil Nadu,2025-09,64432,11665,77,76174
Tamil Nadu,2025-10,34002,7488,56,41546
Tamil Nadu,2025-11,50237,12524,329,63090
Tamil Nadu,2025-12,30965,4713,228,35906
Telangana,2025-04,487,82,65,634
Telangana,2025-05,736,154,21,911
Telangana,2025-06,849,598,69,1516
Telangana,2025-07,6137,2168,276,8581
Telangana,2025-09,34798,8131,122,43051
Telangana,2025-10,24956,5646,117,30719
Telangana,2025-11,24318,5436,253,30007
Telangana,2025-12,13637,2290,120,16047
Tripura,2025-09,2027,1072,14,3113
Tripura,2025-10,1240,586,27,1853
Tripura,2025-11,1941,980,36,2957
Tripura,2025-12,1584,584,15,2183
Uttar Pradesh,2025-03,1393,3326,674,5393
Uttar Pradesh,2025-04,32513,23189,2201,57903
Uttar Pradesh,2025-05,26928,21554,1379,49861
Uttar Pradesh,2025-06,21109,26080,1564,48753
Uttar Pradesh,2025-07,73166,81078,3622,157866
Uttar Pradesh,2025-09,126150,132594,2199,260943
Uttar Pradesh,2025-10,70638,65271,2022,137931
Uttar Pradesh,2025-11,100584,79629,2325,182538
Uttar Pradesh,2025-12,68564,46961,1369,116894
Uttarakhand,2025-03,186,76,49,311
Uttarakhand,2025-04,998,204,74,1276
Uttarakhand,2025-05,477,135,12,624
Uttarakhand,2025-06,160,80,54,294
Uttarakhand,2025-07,1863,479,21,2363
Uttarakhand,2025-09,9223,1704,21,10948
Uttarakhand,2025-10,6087,1022,17,7126
Uttarakhand,2025-11,7470,1130,24,8624
Uttarakhand,2025-12,5416,649,32,6097
West Bengal,2025-03,45,30,46,121
West Bengal,2025-04,2873,1014,381,4268
West Bengal,2025-05,5538,3500,544,9582
West Bengal,2025-06,3194,3323,754,7271
West Bengal,2025-07,15274,11657,1613,28544
West Bengal,2025-09,91195,27328,915,119438
West Bengal,2025-10,60423,17270,155,77848
West Bengal,2025-11,61020,17967,205,79192
West Bengal,2025-12,35858,9321,3077,48256
